paragraph_arr,freq,title,rank,meaning,example,sentence,rating
SCIENTISTS,491,271,133061,A person who is studying or has expert knowledge of one or more of the natural or physical sciences.,a research scientist,Don't torture your data scientists by witholding access to the data and tools they need to do their job,1
PYTHON,286,163,46618,"A large heavy-bodied nonvenomous snake occurring throughout the Old World tropics, killing prey by constriction and asphyxiation.",Anacondas are related to boa constrictors and pythons.,Munge data? Run some analysis? Whip up a classifier using libraries? Implement some neural nets from scratch? Build and scale a production-ready system? Python can really do all of this,1
SOLVE,156,118,18408,"Find an answer to, explanation for, or means of effectively dealing with (a problem or mystery)",the policy could solve the town's housing crisis,"More certain am I of this than I am that Marvel is clearly superior to DC, Hulk is definitely that data scientist who would try to solve every problem using the Map Reduce algorithm",1
ALGORITHM,140,99,13860,"A process or set of rules to be followed in calculations or other problem-solving operations, especially by a computer.",a basic algorithm for division,"More certain am I of this than I am that Marvel is clearly superior to DC, Hulk is definitely that data scientist who would try to solve every problem using the Map Reduce algorithm",1
PREDICTIVE,134,88,11792,Relating to or having the effect of predicting an event or result.,predictive accuracy,"Predictive analytics? Maybe the closest fit, but this term seems closer to the business world at this point than to the world of science",1
PREDICT,110,78,8580,Say or estimate that (a specified thing) will happen in the future or will be a consequence of something.,it is too early to predict a result,"Predictive analytics? Maybe the closest fit, but this term seems closer to the business world at this point than to the world of science",1
PREDICTIONS,96,68,6528,A thing predicted; a forecast.,a prediction that economic growth would resume,A combiner algorithm is then trained to make ultimate predictions using the predictions of other algorithms,1
EXPERTISE,82,78,6396,Expert skill or knowledge in a particular field.,technical expertise,"Though these 3 types of experts are on the same team, there might be a gap in correctly understanding the problem or interpreting the results after integrating their expertise",1
PREDICTION,93,65,6045,A thing predicted; a forecast.,a prediction that the Greeks would destroy the Persian empire,"Whether prediction or hypothesis, one of these 2 will be the most interesting piece of the holistic predictive science puzzle",1
LINEAR,90,63,5670,Arranged in or extending along a straight or nearly straight line.,linear movement,Linear algebra is the most important math skill in machine learning,1
NEURAL,87,65,5655,Relating to a nerve or the nervous system.,patterns of neural activity,Munge data? Run some analysis? Whip up a classifier using libraries? Implement some neural nets from scratch? Build and scale a production-ready system? Python can really do all of this,1
CANNOT,79,70,5530,Can not.,Chemistry is one of those things that just cannot be planned for when casting a film.,It is clear that one particular forecasting technique cannot work in every situation,1
ANALYZE,76,66,5016,"Examine methodically and in detail the constitution or structure of (something, especially information), typically for purposes of explanation and interpretation.",we need to analyze our results more clearly,Often data is also mined in order to be analyzed visually,1
METRICS,82,61,5002,The use or study of poetic meters; prosody.,"Being no scholar of metrics, I won't attempt to elaborate, but reading the longer poems I hear Pound more than anyone else.","To ensure their analytic results will improve business results, analytic teams need to connect the metrics they are focused on to specific decision-making that can be improved with analytics",1
MATHEMATICS,76,57,4332,"The abstract science of number, quantity, and space. Mathematics may be studied in its own right (pure mathematics), or as it is applied to other disciplines such as physics and engineering (applied mathematics)",a taste for mathematics,"If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist",1
CLASSIFICATION,74,57,4218,The action or process of classifying something according to shared qualities or characteristics.,the classification of disease according to symptoms,"To be clear, data science is much more than prediction or classification",1
SPARK,76,55,4180,Emit sparks of fire or electricity.,the ignition sparks as soon as the gas is turned on,"Once students learn the intricacies of machine learning, statistics, Python, SQL, Spark and Hadoop, they are given career resources and two final capstone projects",1
CLOUD,76,54,4104,(of the sky) become overcast with clouds.,the blue skies clouded over abruptly,"In addition, all of the elements of an RCloud notebook are stored on a Github (or Git) server; it is a core design principle of RCloud that no command should be run without being saved, even if it gets deleted later",1
REGRESSION,76,53,4028,A return to a former or less developed state.,it is easy to blame unrest on economic regression,"Regression is similar to classification, in that it is another dominant form of supervised learning and is useful for predictive analysis",1
EFFICIENT,65,53,3445,(especially of a system or machine) achieving maximum productivity with minimum wasted effort or expense.,fluorescent lamps are efficient at converting electricity into light,"RCloud supports efficient, secure, client/server connections via the FastRWeb package and an adopted discipline known as the Object-Capabilities (ocap)",1
VALUABLE,61,56,3416,"A thing that is of great worth, especially a small item of personal property.",put all your valuables in the hotel safe,Data science has already been invaluable in improving the outcomes of epidemics and predicting patient behaviour,1
TYPICALLY,66,50,3300,In most cases; usually.,the quality of work is typically very high,"When I am asked, I typically recommend that people only post on their GitHub completed projects that they are proud of",1
MATHEMATICAL,62,51,3162,Relating to mathematics.,mathematical equations,"The Bayesian method is the natural approach to inference, yet it is hidden from readers behind chapters of slow, mathematical analysis",1
INSIGHT,56,54,3024,The capacity to gain an accurate and deep intuitive understanding of a person or thing.,this paper is alive with sympathetic insight into Shakespeare,"The process of accelerating the data analysis insights by reducing the time between coding and deployment, now called DevOps, has become more relevant with the emerging role of data science teams in large organizations",1
ARTIFICIAL,57,52,2964,"Made or produced by human beings rather than occurring naturally, especially as a copy of something natural.",her skin glowed in the artificial light,"There is also this: though machine learning, artificial intelligence, deep learning, computer vision and natural language processing (along with a variety of other applications of these ""intelligent"" technologies) are all separate and distinct fields and application domains, even practitioners and researchers have to admit that there is some continually evolving ""concept creep"" going on any more, beyond the regular ol' confusion and confounding that has always taken place",1
EXPLAIN,54,50,2700,"Make (an idea, situation, or problem) clear to someone by describing it in more detail or revealing relevant facts or ideas.",they explained that their lives centered on the religious rituals,"The process goes as follows: a data scientist defines a hypothesis, then explores the data, gains insights into the data that help explain the hypothesis better",1
IMAGINE,54,48,2592,Form a mental image or concept of.,I couldn't imagine what she expected to tell them,"I only visited 3 garages in my example, but you could imagine that accuracy would likely increase if I had visited tens or hundreds of garages, especially if my car's problem was one of a very complex nature",1
HENCE,59,42,2478,As a consequence; for this reason.,a stiff breeze and hence a high windchill,Every organization has numerous data sources and hence several hypothesis around the same that need to be prioritized in the order of incremental business value we can extract out of them and also according to the quality of data available,1
